Table S1. oxLDL-induced differentially expressed genes in macrophages identified by single-cell transcriptomics,,,,,
gene,logFC,logCPM,F,PValue,P_adj
TAGLN2,0.659898434,7.496874555,46.15620746,4.59396574725956e-06,0.000212408
FKBP5,-0.934579642,4.429873766,46.01530846,4.67895220419264e-06,0.00021532
VSIG4,-0.644580865,7.628979204,45.98204529,4.69927330160875e-06,0.00021532
SLC43A3,0.782509364,5.779208376,45.91512414,4.74045879952523e-06,0.000216233
RALA,0.691586262,5.908488188,45.8081549,4.80713895724542e-06,0.000218296
SMPDL3A,1.994982066,5.794302005,45.62947777,4.92089018189887e-06,0.000220551
TXN,0.590659755,8.658602788,45.56109533,4.96522480568917e-06,0.000220551
PLAU,0.857527595,6.759097578,45.61783981,4.92840385001151e-06,0.000220551
NRIP3,1.719240518,3.710697169,45.56683645,4.96148538505459e-06,0.000220551
MT1E,-0.96643002,5.371755301,45.65441615,4.90483296822005e-06,0.000220551
CARD19,0.647267311,6.41018321,45.49424541,5.00900150676558e-06,0.000221529
TLR7,-1.170153089,3.745192913,45.39679651,5.07359748477355e-06,0.000223414
ACAA2,0.831494632,5.274009905,45.31117747,5.1311274731703e-06,0.000224973
CD4,-0.57890156,8.505676161,45.11561493,5.26531045289206e-06,0.000228883
MFSD12,0.696352853,6.22705149,45.12105143,5.26152723179225e-06,0.000228883
HMGB3,0.833750523,5.202120033,45.05822188,5.30543748757678e-06,0.000229646
CLN8,0.822701539,5.979832945,44.64451683,5.60509693639441e-06,0.000241589
SOD2,0.737642709,8.011916485,44.56624636,5.66391175817653e-06,0.000242721
CNDP2,0.72949757,6.775598947,44.5462107,5.67907877899359e-06,0.000242721
CPT1A,1.238849023,4.246617103,44.28004227,5.88497443140918e-06,0.000250468
MERTK,0.965500162,5.35017531,44.20831648,5.94188826727234e-06,0.000251837
ZMIZ1-AS1,2.41196232,2.654042559,44.02807892,6.08766395323576e-06,0.000256945
BTG2,-0.794767813,4.9301951,43.77692457,6.29756793356347e-06,0.000263617
ITGA5,0.811402639,5.029309834,43.80524638,6.27349433992176e-06,0.000263617
CD84,0.603398578,7.935854252,43.67495248,6.38511083665201e-06,0.000266186
SPP1,0.564021897,13.1876768,43.24279571,6.77166068719917e-06,0.000281148
IL1B,1.495136074,5.864420016,43.0771009,6.92681112503777e-06,0.000285509
RAPGEF1,0.638387839,6.378852449,43.07075571,6.93283169016918e-06,0.000285509
S100A11,0.550914587,11.17526902,42.84823527,7.14774561377027e-06,0.000293173
SLC11A1,0.829801991,6.715198913,42.48604541,7.51380980148289e-06,0.00030695
CARD14,3.761259943,1.11340266,42.22480471,7.79097153008826e-06,0.000316999
COX7A1,-1.39898396,3.513181039,42.1458996,7.87693804775631e-06,0.00031922
RGS1,1.713405046,2.967895796,42.0760774,7.95390131586598e-06,0.00032106
RAB7B,0.862263588,5.271067712,41.81781046,8.24604062940054e-06,0.000330808
DAB2,-0.634312422,9.680655031,41.79602775,8.27122819948304e-06,0.000330808
HAVCR2,0.656389813,6.104638941,41.77728379,8.2929714679765e-06,0.000330808
MEF2C,-0.730656186,7.438878867,41.50576551,8.61527450889291e-06,0.000342323
SRGN,0.627174688,9.348247333,41.34597467,8.81154176620925e-06,0.000348759
F11R,0.701721216,5.56990044,41.09831317,9.12578004240297e-06,0.000359796
GALNT6,0.841538727,5.000999134,40.81463167,9.50134848295142e-06,0.000373157
PDGFC,-0.977161515,4.286772113,40.75374423,9.58421067802049e-06,0.000373527
GLIPR2,0.801033574,5.335825107,40.77902815,9.54970307494213e-06,0.000373527
DENND2D,0.826070467,5.03636913,40.71444211,9.63812981121104e-06,0.000374195
PTX3,2.09340721,2.586574924,40.42002384,1.00530983542416e-05,0.000388822
ADCY3,1.073826012,3.744501465,40.32000397,1.01986262240556e-05,0.000390562
LIMK1,0.796910948,4.741397775,40.28393753,1.02516839383194e-05,0.000390562
MT1M,-2.434957671,2.554871053,40.29300502,1.02383154421686e-05,0.000390562
OMG,-1.525624109,3.367251326,40.3435729,1.01641209977835e-05,0.000390562
TM7SF2,-1.489467114,2.965213102,40.0521832,1.06001377789225e-05,0.000402331
NECTIN4,1.272360804,3.407571017,40.00114973,1.06786509485355e-05,0.000403804
LINC01943,2.205581416,2.618856207,39.96033257,1.07419187216238e-05,0.000404289
PHLDA1,1.668390728,3.164075876,39.94168059,1.07709704086594e-05,0.000404289
SPHK1,1.266534519,3.461901807,39.83791518,1.093421796942e-05,0.000408908
CCL4,0.875919451,6.26900068,39.69458144,1.11643234512973e-05,0.000415984
SC5D,-1.191001398,4.105111498,39.32463364,1.17838835094565e-05,0.000437466
LAMC1,1.519352604,3.019176154,39.14424221,1.20999814584094e-05,0.000447567
MAP4K3-DT,0.67005495,5.494330435,38.95760745,1.24371192756901e-05,0.000458371
PDLIM7,0.960657249,4.317478913,38.86335829,1.26113868864263e-05,0.000463116
PLB1,-1.36357761,3.195678725,38.66014626,1.2996575230999e-05,0.000475544
CCNG2,-0.789834237,5.049232129,38.55420205,1.32026410166035e-05,0.000479633
PKM,0.598000202,9.503920907,38.56725193,1.31770606122414e-05,0.000479633
SLC22A18AS,0.927173948,4.336197824,38.44874124,1.34114322177954e-05,0.000485484
SCARB2,0.655758696,7.295723414,38.24716601,1.38209520950326e-05,0.000495024
HGF,-1.461647503,3.686480897,38.26693136,1.37801796430509e-05,0.000495024
MRC1,-0.562051659,7.68794594,38.27283075,1.37680365278006e-05,0.000495024
DBP,-0.828869223,4.998933546,38.20130315,1.39160841177035e-05,0.000496682
SLC29A1,1.095077536,4.073829568,38.08714996,1.415609101352e-05,0.000503482
PDPN,0.788809041,5.107539783,37.97722861,1.43916195268053e-05,0.000510075
FLNA,1.045384254,7.312151633,37.87913691,1.4605536277999e-05,0.000515859
DNMBP-AS1,-4.040225767,1.229424597,37.6983925,1.50091564274276e-05,0.00052465
RGS10,-0.536719459,8.616797758,37.73239412,1.49322767913609e-05,0.00052465
BCAP31,0.56284367,8.339075552,37.71936294,1.49616884426208e-05,0.00052465
LITAF,0.584221453,7.883660264,37.64783376,1.51242992586998e-05,0.000526864
NCOA7,-0.802597569,4.855440992,37.40477732,1.56919250858884e-05,0.000544772
CCDC170,-0.917852167,4.323944692,37.22018186,1.61390875577673e-05,0.00055839
PAK1,-0.651058319,5.781702617,37.11073002,1.64109993331936e-05,0.000565874
P2RX4,0.782809459,5.353136071,37.06303449,1.65311024989723e-05,0.000568089
TENT5A,-0.74815686,5.363798689,36.90549426,1.69349073163893e-05,0.000580006
OPN3,0.754194116,4.825068078,36.88015494,1.70008893498663e-05,0.000580312
HMGCR,-1.231043903,4.315878733,36.73416114,1.73867410471499e-05,0.000591498
ENO1,0.608393364,8.683793546,36.6777248,1.75385370001322e-05,0.000594673
ZNF281,0.819458092,4.689977279,36.54547019,1.79001493034535e-05,0.000604918
PLEKHO1,-0.629144254,6.550168707,36.40735484,1.82867867133463e-05,0.000613905
SEMA4A,0.791923182,5.811073165,36.41961609,1.82520846273307e-05,0.000613905
AL121899.4,3.573562128,0.965012421,36.35853167,1.84257070714898e-05,0.000616534
NFIA,-0.805600663,4.814484655,36.33553097,1.84915647848098e-05,0.000616709
TMEM97,-2.075895138,2.577348804,36.22864785,1.88011052985574e-05,0.000624983
PSMA5,0.676301659,5.336181522,36.15023972,1.90318964054503e-05,0.000630594
HMG20A,-0.669148028,5.305759911,36.11672715,1.91315123867096e-05,0.000631837
ELOVL5,-0.728873838,5.281769643,36.01562266,1.94356255106458e-05,0.000639803
CLEC5A,1.073360506,6.296855188,35.96713164,1.95834133815148e-05,0.000642589
PMP22,-0.605318157,6.920165602,35.89989924,1.97904210075173e-05,0.000647293
CD151,0.557658157,6.910429222,35.76148262,2.02244195650225e-05,0.000659368
TMEM138,0.637388141,5.622605255,35.68448268,2.04704886371746e-05,0.000665004
