TableS4 TF-DORC pairs with strong cis-regulations,,,,,,,,,
DORC,TF,Enrichment.Z,Enrichment.P,Enrichment.log10P,Corr,Corr.Z,Corr.P,Corr.log10P,Score
LINC01135,JUNB,7.739079,1.00E-14,13.99939,-0.2474031,-2.384693,0.01709337,-1.767172,-1.767172
LINC01135,FOS,6.626427,3.44E-11,10.46356,-0.3724847,-3.462444,0.000535294,-3.271408,-3.271408
LINC01135,ATF4,4.134359,3.56E-05,4.448615,0.2848046,2.201011,0.02773523,1.556968,1.556427
LINC01358,JUNB,6.872031,6.33E-12,11.19864,-0.2456292,-2.409697,0.01596579,-1.79681,-1.79681
LINC01358,FOS,6.672858,2.51E-11,10.60055,-0.3621379,-3.436501,0.000589281,-3.229678,-3.229678
LPL,FOS,8.455593,2.78E-17,16.55647,-0.2419283,-2.696931,0.006998176,-2.155015,-2.155015
LPL,NR6A1,3.529987,0.000415581,3.381345,-0.3157881,-3.426664,0.000611044,-3.213928,-2.988696
LPL,KLF7,2.203547,0.02755619,1.559781,-0.3314482,-3.581386,0.000341776,-3.466258,-1.554574
MYO1B,FOS,9.57974,9.73E-22,21.01193,-0.391466,-3.343277,0.000827953,-3.081994,-3.081994
MYO1B,FOSL2,8.918614,4.72E-19,18.32591,0.2985022,2.226089,0.02600822,1.584889,1.584889
MYO1B,THRB,3.228057,0.001246343,2.904362,0.4417433,3.382319,0.000718767,3.143412,2.706811
MYO1B,TRPS1,2.679059,0.007382939,2.131771,-0.4874232,-4.117835,3.82E-05,-4.417427,-2.129543
NCAPH,GLI3,4.650507,3.31E-06,5.480015,0.2340233,2.535526,0.01122787,1.949703,1.949576
NCAPH,CEBPB,2.665404,0.00768959,2.114097,0.2520153,2.753324,0.005899348,2.229196,1.868267
NCAPH,TRPS1,2.228939,0.02581798,1.588078,-0.3609315,-4.666595,3.06E-06,-5.513949,-1.588027
NR1H3,FOS,7.298134,2.92E-13,12.53494,-0.3256223,-3.434024,0.000594691,-3.225709,-3.225709
NR1H3,KLF8,4.045861,5.21E-05,4.282903,0.3412125,3.160034,0.001577508,2.802028,2.78793
NR1H3,NR1H3,2.403506,0.01623869,1.789449,0.2958682,2.711643,0.006695067,2.174245,1.641588
NR1H3,CEBPD,2.253842,0.02420614,1.616074,-0.2621231,-2.806107,0.005014402,-2.299781,-1.53612
RAI14,JUNB,9.938687,2.83E-23,22.54894,-0.2770028,-2.32517,0.02006287,-1.697607,-1.697607
RAI14,FOS,9.501248,2.07E-21,20.68321,-0.4366824,-3.583395,0.000339157,-3.4696,-3.4696
RAI14,FOSL2,9.287518,1.58E-20,19.80154,0.300659,2.226622,0.02597254,1.585486,1.585486
RAI14,FOSL1,9.248517,2.28E-20,19.64277,0.3013518,2.232081,0.02560962,1.591597,1.591597
RUNX1,JDP2,5.660771,1.51E-08,7.821902,0.3565636,3.209313,0.001330523,2.875977,2.875973
RUNX1,JUND,5.078763,3.80E-07,6.42033,0.3137226,2.823447,0.004751033,2.323212,2.323177
RUNX1,NFE2L2,2.883997,0.003926626,2.40598,-0.2560714,-2.30865,0.02096301,-1.678546,-1.60542
SLC6A7,FOS,8.209452,2.22E-16,15.65326,-0.3165991,-3.249693,0.001155296,-2.937307,-2.937307
SLC6A7,GLI3,3.334423,0.000854764,3.068154,0.2825446,2.370533,0.01776247,1.750497,1.730439
SLC6A7,POU3F1,3.081083,0.002062492,2.685608,0.2771954,2.320355,0.02032166,1.692041,1.650873
SLC6A7,NR6A1,2.236953,0.02528944,1.597061,-0.2908124,-3.007803,0.002631441,-2.579806,-1.555107
TPST1,FOS,8.909512,5.13E-19,18.29024,-0.3434118,-3.293176,0.000990625,-3.004091,-3.004091
TPST1,ATF4,3.305635,0.000947615,3.023368,0.2714742,2.171258,0.02991165,1.52416,1.511014
TPST1,POU3F1,2.808635,0.004975206,2.303189,0.2804184,2.250745,0.0244017,1.61258,1.533792
TPST1,THRB,2.290384,0.02199909,1.657595,0.4179987,3.473408,0.000513893,3.289127,1.647785
ATP2B4,FOS,7.902512,2.73E-15,14.5633,-0.1296827,-2.191889,0.02838753,-1.546872,-1.546872
ATP2B4,NFE2L2,4.534976,5.76E-06,5.239502,-0.1918405,-3.11346,0.001849073,-2.733046,-2.731697
ATP2B4,RREB1,2.369382,0.01781782,1.749145,-0.1695707,-2.783282,0.005381207,-2.26912,-1.636329
CHIT1,FOS,8.223894,1.97E-16,15.70553,-0.3104517,-3.196337,0.001391847,-2.856409,-2.856409
CHIT1,ZNF711,3.41678,0.000633664,3.198141,0.2683835,2.281548,0.02251603,1.647508,1.635722
CHIT1,KLF8,2.598096,0.009374227,2.028065,0.3173333,2.744791,0.00605494,2.21789,1.813258
CHIT1,CEBPD,2.352016,0.01867198,1.72881,-0.2588511,-2.708008,0.006768845,-2.169485,-1.596632
FGFR1,FOS,5.258568,1.45E-07,6.838089,-0.2214161,-2.769916,0.005607067,-2.251264,-2.251253
FGFR1,GLI3,3.628423,0.000285158,3.544915,0.2514223,2.53514,0.01124023,1.949225,1.938465
KALRN,JUNB,9.570248,1.07E-21,20.97204,-0.3002004,-2.479995,0.01313841,-1.881457,-1.881457
KALRN,FOS,8.988174,2.51E-19,18.59968,-0.4352892,-3.525962,0.000421948,-3.374741,-3.374741
KALRN,FOSL1,8.38101,5.25E-17,16.28005,0.3258452,2.367355,0.01791572,1.746766,1.746766
KALRN,THRB,3.076385,0.002095274,2.678759,0.5247738,3.907622,9.32E-05,4.030542,2.659895
KALRN,TRPS1,2.260196,0.02380907,1.623258,-0.4545861,-3.675374,0.000237501,-3.624334,-1.619049
KCP,GLI3,5.394225,6.88E-08,7.162285,0.2053513,2.163776,0.03048152,1.515963,1.515962
KCP,CEBPB,3.873921,0.000107098,3.970217,0.2191741,2.328729,0.01987342,1.701727,1.699439
KCP,THRA,2.961788,0.003058585,2.51448,0.2085362,2.201783,0.02768061,1.557824,1.513505
KCP,KLF8,2.378748,0.01737154,1.760162,0.2853513,3.118447,0.001818068,2.74039,1.717649
OTUB2,FOS,6.739342,1.59E-11,10.79831,-0.3008355,-3.159683,0.001579409,-2.801506,-2.801506
OTUB2,KLF8,2.975479,0.002925318,2.533827,0.3498685,3.103536,0.001912231,2.71846,2.315877
PDE8A,FOS,7.934817,2.11E-15,14.67612,-0.2833385,-3.076502,0.002094449,-2.67893,-2.67893
PEBP4,FOS,7.930947,2.17E-15,14.66258,-0.2700143,-3.067415,0.002159186,-2.66571,-2.66571
SERTAD2,FOS,9.882721,4.95E-23,22.30565,-0.3690492,-3.188802,0.001428638,-2.845078,-2.845078
SERTAD2,ATF4,3.08668,0.002024056,2.693777,0.3103732,2.298111,0.02155547,1.666443,1.628269
TPRG1,JUNB,8.401979,4.39E-17,16.35752,-0.3252624,-3.140224,0.001688184,-2.77258,-2.77258
TPRG1,FOS,7.649019,2.03E-14,13.69354,-0.3229369,-3.118265,0.001819192,-2.740121,-2.740121
TPRG1,FOSL1,6.615363,3.71E-11,10.43104,0.2544577,2.334072,0.01959193,1.707923,1.707923
TPRG1,JDP2,4.892164,9.97E-07,6.001159,0.2735346,2.514216,0.01192974,1.923369,1.923333
TPRG1,TFEC,3.512927,0.000443199,3.353402,-0.2743745,-2.659691,0.007821247,-2.106724,-2.082968
TPRG1,THRB,2.534969,0.01124573,1.949012,0.2911949,2.680982,0.007340641,2.134266,1.732739
ZBTB7C,FOS,7.243524,4.37E-13,12.35934,-0.2846797,-3.084782,0.002037012,-2.691006,-2.691006
ZBTB7C,ATF4,3.620368,0.000294184,3.531381,0.2470869,2.218166,0.02654351,1.576042,1.571381
ALDH1A2,JUNB,8.162468,3.28E-16,15.4838,-0.2041084,-2.195443,0.02813185,-1.550802,-1.550802
ALDH1A2,FOS,7.549568,4.37E-14,13.35981,-0.2976859,-3.104917,0.001903324,-2.720487,-2.720487
ALDH1A2,ESR1,3.184675,0.001449166,2.838882,-0.2488768,-2.630545,0.008524814,-2.069315,-2.00167
ALDH1A2,ZNF711,3.062957,0.002191614,2.659236,0.3042525,2.745284,0.006045855,2.218542,2.084905
ALDH1A2,THRB,2.547024,0.01086459,1.963987,0.3426712,3.118672,0.001816679,2.740722,1.897514
APBB2,FOS,8.781146,1.62E-18,17.79098,-0.3321825,-3.328318,0.000873721,-3.058627,-3.058627
APBB2,THRB,3.73456,0.000188043,3.725742,0.4588028,4.091452,4.29E-05,4.367866,3.63657
APBB2,ATF4,3.583007,0.000339662,3.468953,0.2787873,2.402831,0.0162687,1.788647,1.779818
APBB2,MAF,2.29437,0.02176926,1.662156,-0.2596688,-2.64811,0.008094317,-2.09182,-1.527428
ATF3,FOS,8.811321,1.24E-18,17.9077,-0.2659412,-2.769602,0.00561249,-2.250844,-2.250844
ATF3,POU3F1,2.757314,0.005827838,2.234493,0.2949362,2.573188,0.01007664,1.996684,1.800087
ATF3,FOXP1,2.741595,0.006114161,2.213663,-0.2669419,-2.779133,0.005450413,-2.263571,-1.938124
ATF3,NR6A1,2.449099,0.0143214,1.844015,-0.2632642,-2.744101,0.006067686,-2.216977,-1.692457
ATF3,ZNF480,2.398078,0.01648137,1.783007,-0.2742903,-2.849133,0.004383851,-2.358144,-1.682084
ATF3,MAF,2.3693,0.01782177,1.749049,-0.3399277,-3.47438,0.000512035,-3.290701,-1.736964
ATF3,CEBPD,2.368306,0.01786977,1.747881,-0.239784,-2.520434,0.01172103,-1.931034,-1.531928
ATP2B2,FOS,7.132828,9.83E-13,12.00733,-0.3023218,-3.085359,0.002033066,-2.691849,-2.691849
ATP2B2,FOSB,3.457749,0.000544708,3.263836,-0.2080912,-2.182401,0.02907995,-1.536406,-1.528579
ATP2B2,MITF,3.039095,0.002372903,2.62472,0.2838823,2.531899,0.01134466,1.945209,1.863576
